"","V1","V2"
"477","ENSG00000029559.5","IBSP"
"478","ENSG00000029639.6","TFB1M"
"479","ENSG00000029725.12","RABEP1"
"480","ENSG00000029993.10","HMGB3"
"481","ENSG00000030066.9","NUP160"
"482","ENSG00000030110.8","BAK1"
"483","ENSG00000030304.8","MUSK"
"484","ENSG00000030419.12","IKZF2"
"485","ENSG00000030582.12","GRN"
"486","ENSG00000031003.6","FAM13B"
"487","ENSG00000031081.6","ARHGAP31"
"488","ENSG00000031691.6","CENPQ"
"489","ENSG00000031698.8","SARS"
"490","ENSG00000031823.10","RANBP3"
"491","ENSG00000032219.14","ARID4A"
"492","ENSG00000032389.8","TSSC1"
"493","ENSG00000032444.11","PNPLA6"
"494","ENSG00000032742.13","IFT88"
"495","ENSG00000033011.7","ALG1"
"496","ENSG00000033030.9","ZCCHC8"
"497","ENSG00000033050.3","ABCF2"
"498","ENSG00000033100.10","CHPF2"
"499","ENSG00000033122.14","LRRC7"
"500","ENSG00000033170.12","FUT8"
"501","ENSG00000033178.8","UBA6"
"502","ENSG00000033327.8","GAB2"
"503","ENSG00000033627.10","ATP6V0A1"
"504","ENSG00000033800.9","PIAS1"
"505","ENSG00000033867.12","SLC4A7"
"506","ENSG00000034053.10","APBA2"
"507","ENSG00000034152.14","MAP2K3"
"508","ENSG00000034239.6","EFCAB1"
"509","ENSG00000034510.4","TMSB10"
"510","ENSG00000034533.7","ASTE1"
"511","ENSG00000034677.7","RNF19A"
"512","ENSG00000034693.10","PEX3"
"513","ENSG00000034713.3","GABARAPL2"
"514","ENSG00000034971.10","MYOC"
"515","ENSG00000035115.17","SH3YL1"
"516","ENSG00000035141.3","FAM136A"
"517","ENSG00000035403.12","VCL"
"518","ENSG00000035499.8","DEPDC1B"
"519","ENSG00000035664.7","DAPK2"
"520","ENSG00000035681.3","NSMAF"
"521","ENSG00000035687.9","ADSS"
"522","ENSG00000035720.3","STAP1"
"523","ENSG00000035862.8","TIMP2"
"524","ENSG00000035928.10","RFC1"
"525","ENSG00000036054.8","TBC1D23"
"526","ENSG00000036257.8","CUL3"
"527","ENSG00000036448.5","MYOM2"
"528","ENSG00000036473.6","OTC"
"529","ENSG00000036530.4","CYP46A1"
"530","ENSG00000036549.8","ZZZ3"
"531","ENSG00000036565.10","SLC18A1"
"532","ENSG00000036672.11","USP2"
"533","ENSG00000036828.9","CASR"
"534","ENSG00000037042.8","TUBG2"
"535","ENSG00000037241.3","RPL26L1"
"536","ENSG00000037280.11","FLT4"
"537","ENSG00000037474.10","NSUN2"
"538","ENSG00000037637.6","FBXO42"
"539","ENSG00000037749.7","MFAP3"
"540","ENSG00000037757.9","MRI1"
"541","ENSG00000037897.12","METTL1"
"542","ENSG00000037965.4","HOXC8"
"543","ENSG00000038002.4","AGA"
"544","ENSG00000038210.9","PI4K2B"
"545","ENSG00000038219.8","BOD1L1"
"546","ENSG00000038274.12","MAT2B"
"547","ENSG00000038295.3","TLL1"
"548","ENSG00000038358.10","EDC4"
"549","ENSG00000038382.13","TRIO"
"550","ENSG00000038427.11","VCAN"
"551","ENSG00000038532.10","CLEC16A"
"552","ENSG00000038945.10","MSR1"
"553","ENSG00000039068.14","CDH1"
"554","ENSG00000039123.11","SKIV2L2"
"555","ENSG00000039139.9","DNAH5"
"556","ENSG00000039319.12","ZFYVE16"
"557","ENSG00000039523.13","FAM65A"
"558","ENSG00000039537.9","C6"
"559","ENSG00000039560.9","RAI14"
"560","ENSG00000039600.6","SOX30"
"561","ENSG00000039650.5","PNKP"
"562","ENSG00000039987.2","BEST2"
"563","ENSG00000040199.14","PHLPP2"
"564","ENSG00000040275.12","SPDL1"
"565","ENSG00000040341.13","STAU2"
"566","ENSG00000040487.8","PQLC2"
"567","ENSG00000040531.10","CTNS"
"568","ENSG00000040608.9","RTN4R"
"569","ENSG00000040633.8","PHF23"
"570","ENSG00000040731.6","CDH10"
"571","ENSG00000040933.11","INPP4A"
"572","ENSG00000041353.5","RAB27B"
"573","ENSG00000041357.11","PSMA4"
"574","ENSG00000041515.11","MYO16"
"575","ENSG00000041802.6","LSG1"
"576","ENSG00000041880.10","PARP3"
"577","ENSG00000041982.10","TNC"
"578","ENSG00000041988.11","THAP3"
"579","ENSG00000042062.7","FAM65C"
"580","ENSG00000042088.9","TDP1"
"581","ENSG00000042286.10","AIFM2"
"582","ENSG00000042304.6","C2orf83"
"583","ENSG00000042317.12","SPATA7"
"584","ENSG00000042429.6","MED17"
"585","ENSG00000042445.9","RETSAT"
"586","ENSG00000042493.11","CAPG"
"587","ENSG00000042753.7","AP2S1"
"588","ENSG00000042781.8","USH2A"
"589","ENSG00000042813.3","ZPBP"
"590","ENSG00000042832.7","TG"
"591","ENSG00000042980.8","ADAM28"
"592","ENSG00000043039.5","BARX2"
"593","ENSG00000043093.9","DCUN1D1"
"594","ENSG00000043143.16","PHF15"
"595","ENSG00000043355.6","ZIC2"
"596","ENSG00000043462.7","LCP2"
"597","ENSG00000043514.11","TRIT1"
"598","ENSG00000043591.4","ADRB1"
"599","ENSG00000044012.3","GUCA2B"
"600","ENSG00000044090.4","CUL7"
"601","ENSG00000044115.16","CTNNA1"
"602","ENSG00000044446.7","PHKA2"
"603","ENSG00000044459.10","CNTLN"
"604","ENSG00000044524.6","EPHA3"
"605","ENSG00000044574.7","HSPA5"
"606","ENSG00000046604.8","DSG2"
